OBJECTID,COUNTY,RATE,L95CL,U95CL,HOSP,FLAG,YEAR,GENDER,AGE,MEASURE,HEALTHOUTCOMEID,cofips
1,Statewide,26.1062030608577,23.5947100015776,28.6176961201379,414,2,2004,Female,0-4 years old,Age specific rate,Asthma,08000
2,Statewide,5.49573382018704,4.92338504314807,6.06808259722601,354,2,2004,Female,15-34 years old,Age specific rate,Asthma,08000
3,Statewide,9.47397207945548,8.84580491995645,10.1021392389545,873,2,2004,Female,35-64 years old,Age specific rate,Asthma,08000
4,Statewide,11.4933225414812,10.2984054540855,12.6882396288769,355,2,2004,Female,5-14 years old,Age specific rate,Asthma,08000
5,Statewide,14.7658096328595,13.288086483141,16.2435327825781,383,2,2004,Female,65+ years old,Age specific rate,Asthma,08000
6,Statewide,10.3775482028172,9.96074778365233,10.794348621982,2379,2,2004,Female,All ages,Age specific rate,Asthma,08000
7,Statewide,45.1209926618386,41.9033057085383,48.3386796151388,752,2,2004,Male,0-4 years old,Age specific rate,Asthma,08000
8,Statewide,2.27976868135914,1.92765377861652,2.63188358410176,161,2,2004,Male,15-34 years old,Age specific rate,Asthma,08000
9,Statewide,3.51556204101633,3.13341297318803,3.89771110884464,325,2,2004,Male,35-64 years old,Age specific rate,Asthma,08000
10,Statewide,16.8590325509013,15.4460851300866,18.271979971716,546,2,2004,Male,5-14 years old,Age specific rate,Asthma,08000
11,Statewide,9.27168601256032,7.92156071698209,10.6218113081385,181,2,2004,Male,65+ years old,Age specific rate,Asthma,08000
12,Statewide,8.48293225396475,8.10801406546903,8.85785044246046,1965,2,2004,Male,All ages,Age specific rate,Asthma,08000
13,Statewide,35.8525433474468,33.7983238893015,37.9067628055922,1166,2,2004,Both genders,0-4 years old,Age specific rate,Asthma,08000
14,Statewide,3.81387970801233,3.48454567334738,4.14321374267729,515,2,2004,Both genders,15-34 years old,Age specific rate,Asthma,08000
15,Statewide,6.48992193133143,6.12253292001329,6.85731094264956,1198,2,2004,Both genders,35-64 years old,Age specific rate,Asthma,08000
16,Statewide,14.2398361391553,13.3106788608017,15.1689934175089,901,2,2004,Both genders,5-14 years old,Age specific rate,Asthma,08000
